"wsg","species","total_segs","match_pct","n_diffs","top_pattern","top_pattern_count"
"FRCN","PK",29343,99.86,40,"ACCESS;NONE | SPAWN;NONE",34
"FRCN","SK",29343,99.84,48,"ACCESS;NONE | SPAWN;NONE",42
"FRCN","ST",29343,99.71,86,"REAR;NONE | ACCESS;NONE",24
"HARR","BT",17869,99.34,118,"REAR;NONE | ACCESS;NONE",21
"HARR","CH",17869,99.89,19,"ACCESS;DAM | SPAWN;DAM",9
"HARR","CM",17869,99.6,71,"ACCESS;NONE | SPAWN;NONE",41
"HARR","CO",17869,99.51,87,"ACCESS;NONE | SPAWN;NONE",36
"HARR","PK",17869,99.9,18,"ACCESS;MODELLED | SPAWN;MODELLED",6
"HARR","SK",17869,99.72,50,"ACCESS;NONE | SPAWN;NONE",32
"HARR","ST",17869,99.82,33,"ACCESS;NONE | REAR;NONE",5
"KISP","BT",30832,99.58,131,"REAR;NONE | ACCESS;NONE",31
"KISP","CH",30832,99.81,60,"ACCESS;NONE | SPAWN;NONE",31
"KISP","CM",30832,99.92,25,"ACCESS;NONE | SPAWN;NONE",12
"KISP","CO",30832,99.59,126,"ACCESS;NONE | SPAWN;NONE",47
"KISP","PK",30832,99.82,55,"ACCESS;NONE | SPAWN;NONE",39
"KISP","SK",30832,99.46,166,"ACCESS;NONE | SPAWN;NONE",146
"KISP","ST",30832,99.68,99,"ACCESS;NONE | SPAWN;NONE",40
"KLUM","BT",31573,99.53,149," | REAR;NONE",18
"KLUM","CH",31573,99.88,37,"REAR;NONE | ACCESS;NONE",6
"KLUM","CM",31573,99.97,9,"ACCESS;NONE;INTERMITTENT | ",4
"KLUM","CO",31573,99.69,98,"ACCESS;NONE | SPAWN;NONE",33
"KLUM","PK",31573,99.94,20," | SPAWN",4
"KLUM","SK",31573,99.41,186,"ACCESS;NONE | SPAWN;NONE",145
"KLUM","ST",31573,99.81,60,"REAR;NONE | SPAWN;NONE",12
"LCHL","BT",19599,99.47,104,"ACCESS;MODELLED;INTERMITTENT | ACCESS;REMEDIATED;INTERMITTENT",23
"LCHL","CH",19599,99.76,47,"ACCESS;NONE | SPAWN;NONE",13
"LCHL","CO",19599,99.55,88,"REAR;MODELLED | ACCESS;MODELLED",38
"LFRA","BT",27397,97.92,571,"ACCESS;ASSESSED;INTERMITTENT | ACCESS;MODELLED;INTERMITTENT",100
"LFRA","CH",27397,99.65,95,"SPAWN;MODELLED | REAR;MODELLED",29
"LFRA","CM",27397,99.55,123,"ACCESS;NONE | SPAWN;NONE",33
"LFRA","CO",27397,98.09,523,"ACCESS;DAM;INTERMITTENT | SPAWN;DAM;INTERMITTENT",124
"LFRA","PK",27397,99.78,60,"SPAWN;MODELLED | SPAWN;NONE",22
"LFRA","SK",27397,99.5,138,"ACCESS;NONE | SPAWN;NONE",87
"LFRA","ST",27397,99.49,139,"SPAWN;MODELLED | REAR;MODELLED",29
"LPCE","BT",0,NA,NA,NA,NA
"LSAL","CH",11462,99.39,70,"ACCESS;NONE | SPAWN;NONE",39
"LSKE","BT",37785,99.44,213,"REAR;NONE | ACCESS;NONE",55
"LSKE","CH",37785,99.79,78,"ACCESS;NONE | SPAWN;NONE",27
"LSKE","CM",37785,99.7,115,"ACCESS;NONE | SPAWN;NONE",77
"LSKE","CO",37785,99.56,167,"ACCESS;NONE | SPAWN;NONE",31
"LSKE","PK",37785,99.65,131,"ACCESS;NONE | SPAWN;NONE",78
"LSKE","SK",37785,99.65,131,"ACCESS;NONE | SPAWN;NONE",88
"LSKE","ST",37785,99.79,80,"REAR;NONE | ACCESS;NONE",30
"MFRA","CH",8799,99.95,4,"ACCESS;NONE;INTERMITTENT | ",3
"MORK","BT",52760,99.56,231,"REAR;MODELLED | ACCESS;MODELLED",56
"MORK","CH",52760,99.74,138,"ACCESS;NONE | SPAWN;NONE",69
"MORR","BT",29084,99.53,138,"REAR;NONE | ACCESS;NONE",36
"MORR","CH",29084,99.85,45,"ACCESS;NONE | SPAWN;NONE",11
"MORR","CO",29084,99.23,224,"REAR;NONE | SPAWN;NONE",101
"MORR","PK",29084,99.88,35,"ACCESS;NONE | SPAWN;NONE",20
"MORR","SK",29084,99.17,241,"REAR;NONE | SPAWN;NONE",132
"MORR","ST",29084,99.53,137,"ACCESS;NONE | SPAWN;NONE",50
"NARC","BT",19248,99.61,76,"REAR;MODELLED | ACCESS;MODELLED",24
"NARC","CH",19248,99.53,90,"ACCESS;MODELLED | SPAWN;MODELLED",74
"NARC","PK",19248,99.88,24,"SPAWN;MODELLED | ACCESS;MODELLED",13
"NATR","BT",32315,98.87,364,"REAR | ",49
"NECR","BT",27698,99.87,36,"SPAWN;MODELLED | REAR;MODELLED",11
"NECR","CH",27698,99.9,29,"SPAWN;ASSESSED | REAR;ASSESSED",9
"NECR","CO",27698,99.71,80,"REAR;MODELLED | ACCESS;MODELLED",36
"NECR","SK",27698,99.96,10,"ACCESS;NONE | ",5
"PARA","BT",17052,99.11,152,"ACCESS;MODELLED | REAR;MODELLED",31
"PARS","BT",43593,98.83,510,"REAR;DAM | ACCESS;DAM",84
"PCEA","BT",37914,99.1,342,"REAR;DAM | ACCESS;DAM",174
"PINE","BT",42816,68.02,13692," | ACCESS;ASSESSED;INTERMITTENT",3200
"SETN","BT",78820,99.67,257,"REAR;MODELLED | ACCESS;MODELLED",60
"SETN","CH",78820,94.73,4150,"ACCESS;DAM | ",1708
"SETN","CM",78820,94.81,4090,"ACCESS;DAM | ",1585
"SETN","CO",78820,94.76,4131,"ACCESS;DAM | ",1434
"SETN","PK",78820,94.8,4098,"ACCESS;DAM | ",1585
"SETN","SK",78820,94.71,4172,"ACCESS;DAM | ",2433
"SETN","ST",78820,93.65,5008,"ACCESS;DAM | ",1751
"TABR","BT",12673,99.31,88,"ACCESS;ASSESSED | REAR;ASSESSED",32
"TABR","CH",12673,99.8,25,"ACCESS;ASSESSED | REAR;ASSESSED",16
"TWAC","BT",12291,99.92,10,"REAR;MODELLED | ACCESS;MODELLED",2
"TWAC","CH",12291,100,0,NA,NA
"UFRA","BT",35421,98.24,622,"ACCESS;ASSESSED;INTERMITTENT | ACCESS;MODELLED;INTERMITTENT",69
"UFRA","CH",35421,99.3,248,"SPAWN;ASSESSED | SPAWN;NONE",46
"UPCE","BT",23209,99.57,100,"REAR;MODELLED | ACCESS;MODELLED",19
"WILL","BT",18746,98.98,192,"ACCESS;ASSESSED | REAR;ASSESSED",70
"WILL","CH",18746,99.7,57,"ACCESS;ASSESSED | REAR;ASSESSED",9
"WILL","CO",18746,99.15,159,"REAR;ASSESSED | ACCESS;ASSESSED",29
"ZYMO","BT",23970,99.3,168," | ACCESS;MODELLED",29
"ZYMO","CH",23970,99.69,75," | ACCESS;NONE",19
"ZYMO","CO",23970,99.62,90," | ACCESS;NONE",18
"ZYMO","ST",23970,99.71,70,"REAR;NONE | ACCESS;NONE",23
